,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
236,2017-08-25,33℃,26℃,小雨~多云,无持续风向,微风,40,优,1,广州
237,2017-08-26,35℃,25℃,雷阵雨,无持续风向,微风,45,优,1,广州
238,2017-08-27,29℃,25℃,中到大雨,东风,6-7级,17,优,1,广州
239,2017-08-28,29℃,25℃,大到暴雨~雷阵雨,无持续风向,微风,19,优,1,广州
240,2017-08-29,32℃,26℃,雷阵雨~多云,无持续风向,微风,43,优,1,广州
241,2017-08-30,35℃,24℃,多云~雷阵雨,无持续风向,微风,60,良,2,广州
242,2017-08-31,35℃,25℃,小到中雨~阵雨,无持续风向,微风,50,优,1,广州
243,2017-09-01,34℃,25℃,雷阵雨,无持续风向,微风,45,优,1,广州
244,2017-09-02,34℃,25℃,雷阵雨,无持续风向,微风,60,良,2,广州
245,2017-09-03,35℃,25℃,中到大雨,北风,3-4级,66,良,2,广州
246,2017-09-04,29℃,26℃,中到大雨~大雨,无持续风向,微风,44,优,1,广州
247,2017-09-05,31℃,25℃,小到中雨~雷阵雨,无持续风向,微风,43,优,1,广州
248,2017-09-06,32℃,26℃,小到中雨,无持续风向,微风,54,良,2,广州
249,2017-09-07,31℃,25℃,小到中雨~雷阵雨,无持续风向,微风,50,优,1,广州
250,2017-09-08,34℃,25℃,雷阵雨~小雨,无持续风向,微风,55,良,2,广州
251,2017-09-09,32℃,25℃,雷阵雨~小到中雨,无持续风向,微风,50,优,1,广州
252,2017-09-10,33℃,25℃,中雨~多云,无持续风向,微风,33,优,1,广州
253,2017-09-11,33℃,26℃,雷阵雨,无持续风向,微风,64,良,2,广州
254,2017-09-12,35℃,27℃,雷阵雨,无持续风向,微风,53,良,2,广州
255,2017-09-13,36℃,27℃,多云~晴,无持续风向,微风,44,优,1,广州
256,2017-09-14,34℃,26℃,雷阵雨~阵雨,无持续风向,微风,42,优,1,广州
257,2017-09-15,33℃,25℃,多云,无持续风向,微风,55,良,2,广州
258,2017-09-16,34℃,25℃,多云,无持续风向,微风,74,良,2,广州
259,2017-09-17,35℃,24℃,多云,无持续风向,微风,91,良,2,广州
260,2017-09-18,35℃,26℃,多云,无持续风向,微风,96,良,2,广州
261,2017-09-19,35℃,25℃,多云,无持续风向,微风,76,良,2,广州
262,2017-09-20,34℃,26℃,多云,无持续风向,微风,80,良,2,广州
263,2017-09-21,34℃,26℃,雷阵雨,无持续风向,微风,78,良,2,广州
264,2017-09-22,33℃,26℃,雷阵雨,无持续风向,微风,54,良,2,广州
265,2017-09-23,34℃,26℃,多云,无持续风向,微风,45,优,1,广州
266,2017-09-24,33℃,27℃,雷阵雨,无持续风向,微风,40,优,1,广州
267,2017-09-25,33℃,26℃,雷阵雨~多云,无持续风向,微风,25,优,1,广州
268,2017-09-26,34℃,25℃,多云,无持续风向,微风,53,良,2,广州
269,2017-09-27,36℃,27℃,晴~多云,无持续风向,微风,89,良,2,广州
270,2017-09-28,35℃,25℃,晴~雷阵雨,无持续风向,微风,100,良,2,广州
271,2017-09-29,32℃,27℃,雷阵雨,无持续风向,微风,47,优,1,广州
272,2017-09-30,33℃,25℃,雷阵雨,无持续风向,微风,50,优,1,广州
273,2017-10-01,33℃,26℃,雷阵雨~多云,无持续风向,微风,44,优,1,广州
274,2017-10-02,33℃,26℃,雷阵雨~多云,无持续风向,微风,41,优,1,广州
275,2017-10-03,34℃,25℃,雷阵雨,无持续风向,微风,37,优,1,广州
276,2017-10-04,31℃,25℃,小到中雨~雷阵雨,无持续风向,微风,41,优,1,广州
277,2017-10-05,33℃,24℃,雷阵雨,无持续风向,微风,35,优,1,广州
278,2017-10-06,33℃,24℃,多云,无持续风向,微风,43,优,1,广州
279,2017-10-07,33℃,26℃,多云,无持续风向,微风,51,良,2,广州
280,2017-10-08,34℃,25℃,多云,无持续风向,微风,53,良,2,广州
281,2017-10-09,33℃,25℃,多云,无持续风向,微风,48,优,1,广州
282,2017-10-10,33℃,25℃,阵雨,无持续风向,微风,37,优,1,广州
283,2017-10-11,32℃,24℃,多云,无持续风向,微风,52,良,2,广州
284,2017-10-12,32℃,21℃,多云,北风,3-4级,54,良,2,广州
285,2017-10-13,31℃,22℃,多云,无持续风向,微风,35,优,1,广州
286,2017-10-14,28℃,21℃,多云~小雨,北风,4-5级,34,优,1,广州
287,2017-10-15,25℃,21℃,中雨~小到中雨,北风,6-7级,20,优,1,广州
288,2017-10-16,24℃,19℃,小雨,北风,3-4级,20,优,1,广州
289,2017-10-17,28℃,21℃,多云,无持续风向,微风,25,优,1,广州
290,2017-10-18,28℃,21℃,晴,无持续风向,微风,27,优,1,广州
291,2017-10-19,30℃,20℃,多云,无持续风向,微风,24,优,1,广州
292,2017-10-20,28℃,20℃,多云,北风,3-4级,26,优,1,广州
293,2017-10-21,27℃,18℃,多云~晴,无持续风向,微风,33,优,1,广州
294,2017-10-22,26℃,17℃,晴,无持续风向,微风,51,良,2,广州
295,2017-10-23,27℃,17℃,多云,无持续风向,微风,74,良,2,广州
296,2017-10-24,26℃,18℃,晴,无持续风向,微风,83,良,2,广州
297,2017-10-25,28℃,18℃,多云,无持续风向,微风,101,轻度污染,3,广州
298,2017-10-26,29℃,18℃,多云,无持续风向,微风,101,轻度污染,3,广州
299,2017-10-27,28℃,19℃,晴,无持续风向,微风,79,良,2,广州
